Province,Area Type,Age Group,Gender,Income Bracket (ZAR),Package,Customer Count
Gauteng,Urban,18-25,Male,<10k,10/10 Mbps,11
Gauteng,Urban,18-25,Male,<10k,50/50 Mbps,62
Gauteng,Urban,18-25,Male,<10k,100/100 Mbps,18
Gauteng,Urban,18-25,Male,<10k,200/200 Mbps,72
Gauteng,Urban,18-25,Male,<10k,500/500 Mbps,96
Gauteng,Urban,18-25,Male,<10k,1000/1000 Mbps,61
Gauteng,Urban,18-25,Male,10-20k,10/10 Mbps,93
Gauteng,Urban,18-25,Male,10-20k,50/50 Mbps,91
Gauteng,Urban,18-25,Male,10-20k,100/100 Mbps,52
Gauteng,Urban,18-25,Male,10-20k,200/200 Mbps,74
Gauteng,Urban,18-25,Male,10-20k,500/500 Mbps,29
Gauteng,Urban,18-25,Male,10-20k,1000/1000 Mbps,26
Gauteng,Urban,18-25,Male,20-40k,10/10 Mbps,26
Gauteng,Urban,18-25,Male,20-40k,50/50 Mbps,63
Gauteng,Urban,18-25,Male,20-40k,100/100 Mbps,24
Gauteng,Urban,18-25,Male,20-40k,200/200 Mbps,80
Gauteng,Urban,18-25,Male,20-40k,500/500 Mbps,71
Gauteng,Urban,18-25,Male,20-40k,1000/1000 Mbps,93
Gauteng,Urban,18-25,Male,40k+,10/10 Mbps,77
Gauteng,Urban,18-25,Male,40k+,50/50 Mbps,43
Gauteng,Urban,18-25,Male,40k+,100/100 Mbps,78
Gauteng,Urban,18-25,Male,40k+,200/200 Mbps,93
Gauteng,Urban,18-25,Male,40k+,500/500 Mbps,34
Gauteng,Urban,18-25,Male,40k+,1000/1000 Mbps,95
Gauteng,Urban,18-25,Female,<10k,10/10 Mbps,61
Gauteng,Urban,18-25,Female,<10k,50/50 Mbps,71
Gauteng,Urban,18-25,Female,<10k,100/100 Mbps,10
Gauteng,Urban,18-25,Female,<10k,200/200 Mbps,59
Gauteng,Urban,18-25,Female,<10k,500/500 Mbps,92
Gauteng,Urban,18-25,Female,<10k,1000/1000 Mbps,29
Gauteng,Urban,18-25,Female,10-20k,10/10 Mbps,79
Gauteng,Urban,18-25,Female,10-20k,50/50 Mbps,66
Gauteng,Urban,18-25,Female,10-20k,100/100 Mbps,83
Gauteng,Urban,18-25,Female,10-20k,200/200 Mbps,52
Gauteng,Urban,18-25,Female,10-20k,500/500 Mbps,20
Gauteng,Urban,18-25,Female,10-20k,1000/1000 Mbps,9
Gauteng,Urban,18-25,Female,20-40k,10/10 Mbps,10
Gauteng,Urban,18-25,Female,20-40k,50/50 Mbps,77
