Month,Province,Campaign,Lead Source,Package,Leads Generated,Conversion Rate,Leads Converted
2025-01-31,Gauteng,Digital Ads,Facebook,10/10 Mbps,203,0.19,38
2025-01-31,Gauteng,Digital Ads,Facebook,50/50 Mbps,27,0.05,1
2025-01-31,Gauteng,Digital Ads,Facebook,100/100 Mbps,115,0.08,9
2025-01-31,Gauteng,Digital Ads,Facebook,200/200 Mbps,189,0.18,34
2025-01-31,Gauteng,Digital Ads,Facebook,500/500 Mbps,257,0.11,28
2025-01-31,Gauteng,Digital Ads,Facebook,1000/1000 Mbps,214,0.15,32
2025-01-31,Gauteng,Digital Ads,Google,10/10 Mbps,90,0.17,15
2025-01-31,Gauteng,Digital Ads,Google,50/50 Mbps,255,0.12,30
2025-01-31,Gauteng,Digital Ads,Google,100/100 Mbps,29,0.09,2
2025-01-31,Gauteng,Digital Ads,Google,200/200 Mbps,215,0.17,36
2025-01-31,Gauteng,Digital Ads,Google,500/500 Mbps,234,0.14,32
2025-01-31,Gauteng,Digital Ads,Google,1000/1000 Mbps,246,0.11,27
2025-01-31,Gauteng,Digital Ads,Word of Mouth,10/10 Mbps,44,0.13,5
2025-01-31,Gauteng,Digital Ads,Word of Mouth,50/50 Mbps,106,0.08,8
2025-01-31,Gauteng,Digital Ads,Word of Mouth,100/100 Mbps,177,0.16,28
2025-01-31,Gauteng,Digital Ads,Word of Mouth,200/200 Mbps,129,0.19,24
2025-01-31,Gauteng,Digital Ads,Word of Mouth,500/500 Mbps,54,0.17,9
2025-01-31,Gauteng,Digital Ads,Word of Mouth,1000/1000 Mbps,202,0.12,24
2025-01-31,Gauteng,Digital Ads,Local Radio,10/10 Mbps,147,0.17,24
2025-01-31,Gauteng,Digital Ads,Local Radio,50/50 Mbps,56,0.06,3
2025-01-31,Gauteng,Digital Ads,Local Radio,100/100 Mbps,150,0.13,19
2025-01-31,Gauteng,Digital Ads,Local Radio,200/200 Mbps,211,0.14,29
2025-01-31,Gauteng,Digital Ads,Local Radio,500/500 Mbps,127,0.1,12
2025-01-31,Gauteng,Digital Ads,Local Radio,1000/1000 Mbps,177,0.18,31
2025-01-31,Gauteng,Referral,Facebook,10/10 Mbps,270,0.13,35
2025-01-31,Gauteng,Referral,Facebook,50/50 Mbps,167,0.14,23
2025-01-31,Gauteng,Referral,Facebook,100/100 Mbps,267,0.18,48
2025-01-31,Gauteng,Referral,Facebook,200/200 Mbps,217,0.08,17
2025-01-31,Gauteng,Referral,Facebook,500/500 Mbps,183,0.1,18
2025-01-31,Gauteng,Referral,Facebook,1000/1000 Mbps,245,0.14,34
2025-01-31,Gauteng,Referral,Google,10/10 Mbps,223,0.13,28
2025-01-31,Gauteng,Referral,Google,50/50 Mbps,282,0.16,45
2025-01-31,Gauteng,Referral,Google,100/100 Mbps,226,0.17,38
2025-01-31,Gauteng,Referral,Google,200/200 Mbps,29,0.17,4
2025-01-31,Gauteng,Referral,Google,500/500 Mbps,35,0.11,3
2025-01-31,Gauteng,Referral,Google,1000/1000 Mbps,288,0.08,23
2025-01-31,Gauteng,Referral,Word of Mouth,10/10 Mbps,149,0.05,7
2025-01-31,Gauteng,Referral,Word of Mouth,50/50 Mbps,168,0.06,10
2025-01-31,Gauteng,Referral,Word of Mouth,100/100 Mbps,175,0.06,10
2025-01-31,Gauteng,Referral,Word of Mouth,200/200 Mbps,178,0.06,10
2025-01-31,Gauteng,Referral,Word of Mouth,500/500 Mbps,210,0.09,18
2025-01-31,Gauteng,Referral,Word of Mouth,1000/1000 Mbps,39,0.18,7
2025-01-31,Gauteng,Referral,Local Radio,10/10 Mbps,233,0.17,39
2025-01-31,Gauteng,Referral,Local Radio,50/50 Mbps,88,0.11,9
2025-01-31,Gauteng,Referral,Local Radio,100/100 Mbps,236,0.13,30
2025-01-31,Gauteng,Referral,Local Radio,200/200 Mbps,146,0.09,13
2025-01-31,Gauteng,Referral,Local Radio,500/500 Mbps,288,0.1,28
2025-01-31,Gauteng,Referral,Local Radio,1000/1000 Mbps,218,0.05,10
2025-01-31,Gauteng,Outdoor,Facebook,10/10 Mbps,258,0.2,51
2025-01-31,Gauteng,Outdoor,Facebook,50/50 Mbps,283,0.15,42
2025-01-31,Gauteng,Outdoor,Facebook,100/100 Mbps,248,0.06,14
2025-01-31,Gauteng,Outdoor,Facebook,200/200 Mbps,185,0.08,14
2025-01-31,Gauteng,Outdoor,Facebook,500/500 Mbps,230,0.16,36
2025-01-31,Gauteng,Outdoor,Facebook,1000/1000 Mbps,257,0.07,17
2025-01-31,Gauteng,Outdoor,Google,10/10 Mbps,86,0.16,13
2025-01-31,Gauteng,Outdoor,Google,50/50 Mbps,129,0.1,12
2025-01-31,Gauteng,Outdoor,Google,100/100 Mbps,110,0.12,13
2025-01-31,Gauteng,Outdoor,Google,200/200 Mbps,171,0.06,10
2025-01-31,Gauteng,Outdoor,Google,500/500 Mbps,105,0.18,18
2025-01-31,Gauteng,Outdoor,Google,1000/1000 Mbps,141,0.2,28
2025-01-31,Gauteng,Outdoor,Word of Mouth,10/10 Mbps,87,0.08,6
2025-01-31,Gauteng,Outdoor,Word of Mouth,50/50 Mbps,83,0.15,12
2025-01-31,Gauteng,Outdoor,Word of Mouth,100/100 Mbps,215,0.05,10
2025-01-31,Gauteng,Outdoor,Word of Mouth,200/200 Mbps,199,0.17,33
2025-01-31,Gauteng,Outdoor,Word of Mouth,500/500 Mbps,21,0.07,1
2025-01-31,Gauteng,Outdoor,Word of Mouth,1000/1000 Mbps,203,0.09,18
2025-01-31,Gauteng,Outdoor,Local Radio,10/10 Mbps,265,0.15,39
2025-01-31,Gauteng,Outdoor,Local Radio,50/50 Mbps,114,0.08,9
2025-01-31,Gauteng,Outdoor,Local Radio,100/100 Mbps,210,0.09,18
2025-01-31,Gauteng,Outdoor,Local Radio,200/200 Mbps,155,0.11,17
2025-01-31,Gauteng,Outdoor,Local Radio,500/500 Mbps,256,0.08,20
2025-01-31,Gauteng,Outdoor,Local Radio,1000/1000 Mbps,154,0.06,9
2025-01-31,Gauteng,Events,Facebook,10/10 Mbps,60,0.07,4
2025-01-31,Gauteng,Events,Facebook,50/50 Mbps,46,0.1,4
2025-01-31,Gauteng,Events,Facebook,100/100 Mbps,252,0.14,35
2025-01-31,Gauteng,Events,Facebook,200/200 Mbps,118,0.09,10
2025-01-31,Gauteng,Events,Facebook,500/500 Mbps,88,0.11,9
2025-01-31,Gauteng,Events,Facebook,1000/1000 Mbps,78,0.15,11
2025-01-31,Gauteng,Events,Google,10/10 Mbps,281,0.12,33
2025-01-31,Gauteng,Events,Google,50/50 Mbps,240,0.18,43
2025-01-31,Gauteng,Events,Google,100/100 Mbps,297,0.11,32
2025-01-31,Gauteng,Events,Google,200/200 Mbps,164,0.17,27
2025-01-31,Gauteng,Events,Google,500/500 Mbps,218,0.11,23
2025-01-31,Gauteng,Events,Google,1000/1000 Mbps,245,0.1,24
2025-01-31,Gauteng,Events,Word of Mouth,10/10 Mbps,62,0.08,4
2025-01-31,Gauteng,Events,Word of Mouth,50/50 Mbps,133,0.14,18
2025-01-31,Gauteng,Events,Word of Mouth,100/100 Mbps,260,0.16,41
2025-01-31,Gauteng,Events,Word of Mouth,200/200 Mbps,279,0.2,55
2025-01-31,Gauteng,Events,Word of Mouth,500/500 Mbps,247,0.05,12
2025-01-31,Gauteng,Events,Word of Mouth,1000/1000 Mbps,93,0.16,14
2025-01-31,Gauteng,Events,Local Radio,10/10 Mbps,234,0.05,11
2025-01-31,Gauteng,Events,Local Radio,50/50 Mbps,69,0.07,4
2025-01-31,Gauteng,Events,Local Radio,100/100 Mbps,163,0.19,30
2025-01-31,Gauteng,Events,Local Radio,200/200 Mbps,86,0.1,8
2025-01-31,Gauteng,Events,Local Radio,500/500 Mbps,288,0.13,37
2025-01-31,Gauteng,Events,Local Radio,1000/1000 Mbps,267,0.07,18
2025-01-31,Western Cape,Digital Ads,Facebook,10/10 Mbps,96,0.08,7
2025-01-31,Western Cape,Digital Ads,Facebook,50/50 Mbps,256,0.13,33
2025-01-31,Western Cape,Digital Ads,Facebook,100/100 Mbps,200,0.2,40
2025-01-31,Western Cape,Digital Ads,Facebook,200/200 Mbps,172,0.08,13
2025-01-31,Western Cape,Digital Ads,Facebook,500/500 Mbps,238,0.18,42
2025-01-31,Western Cape,Digital Ads,Facebook,1000/1000 Mbps,269,0.07,18
2025-01-31,Western Cape,Digital Ads,Google,10/10 Mbps,297,0.19,56
2025-01-31,Western Cape,Digital Ads,Google,50/50 Mbps,183,0.16,29
2025-01-31,Western Cape,Digital Ads,Google,100/100 Mbps,178,0.1,17
2025-01-31,Western Cape,Digital Ads,Google,200/200 Mbps,34,0.19,6
2025-01-31,Western Cape,Digital Ads,Google,500/500 Mbps,219,0.15,32
2025-01-31,Western Cape,Digital Ads,Google,1000/1000 Mbps,46,0.07,3
2025-01-31,Western Cape,Digital Ads,Word of Mouth,10/10 Mbps,27,0.15,4
2025-01-31,Western Cape,Digital Ads,Word of Mouth,50/50 Mbps,124,0.08,9
2025-01-31,Western Cape,Digital Ads,Word of Mouth,100/100 Mbps,253,0.19,48
2025-01-31,Western Cape,Digital Ads,Word of Mouth,200/200 Mbps,254,0.16,40
2025-01-31,Western Cape,Digital Ads,Word of Mouth,500/500 Mbps,183,0.09,16
2025-01-31,Western Cape,Digital Ads,Word of Mouth,1000/1000 Mbps,243,0.17,41
2025-01-31,Western Cape,Digital Ads,Local Radio,10/10 Mbps,151,0.17,25
2025-01-31,Western Cape,Digital Ads,Local Radio,50/50 Mbps,228,0.11,25
2025-01-31,Western Cape,Digital Ads,Local Radio,100/100 Mbps,280,0.16,44
2025-01-31,Western Cape,Digital Ads,Local Radio,200/200 Mbps,110,0.13,14
2025-01-31,Western Cape,Digital Ads,Local Radio,500/500 Mbps,82,0.1,8
2025-01-31,Western Cape,Digital Ads,Local Radio,1000/1000 Mbps,250,0.18,45
2025-01-31,Western Cape,Referral,Facebook,10/10 Mbps,24,0.14,3
2025-01-31,Western Cape,Referral,Facebook,50/50 Mbps,117,0.06,7
2025-01-31,Western Cape,Referral,Facebook,100/100 Mbps,89,0.08,7
2025-01-31,Western Cape,Referral,Facebook,200/200 Mbps,93,0.15,13
2025-01-31,Western Cape,Referral,Facebook,500/500 Mbps,85,0.14,11
2025-01-31,Western Cape,Referral,Facebook,1000/1000 Mbps,85,0.08,6
2025-01-31,Western Cape,Referral,Google,10/10 Mbps,224,0.18,40
2025-01-31,Western Cape,Referral,Google,50/50 Mbps,254,0.09,22
2025-01-31,Western Cape,Referral,Google,100/100 Mbps,177,0.14,24
2025-01-31,Western Cape,Referral,Google,200/200 Mbps,125,0.18,22
2025-01-31,Western Cape,Referral,Google,500/500 Mbps,139,0.07,9
2025-01-31,Western Cape,Referral,Google,1000/1000 Mbps,219,0.06,13
2025-01-31,Western Cape,Referral,Word of Mouth,10/10 Mbps,93,0.1,9
2025-01-31,Western Cape,Referral,Word of Mouth,50/50 Mbps,164,0.1,16
2025-01-31,Western Cape,Referral,Word of Mouth,100/100 Mbps,75,0.08,6
2025-01-31,Western Cape,Referral,Word of Mouth,200/200 Mbps,120,0.11,13
2025-01-31,Western Cape,Referral,Word of Mouth,500/500 Mbps,249,0.13,32
2025-01-31,Western Cape,Referral,Word of Mouth,1000/1000 Mbps,284,0.05,14
2025-01-31,Western Cape,Referral,Local Radio,10/10 Mbps,240,0.18,43
2025-01-31,Western Cape,Referral,Local Radio,50/50 Mbps,287,0.14,40
2025-01-31,Western Cape,Referral,Local Radio,100/100 Mbps,239,0.09,21
2025-01-31,Western Cape,Referral,Local Radio,200/200 Mbps,160,0.11,17
2025-01-31,Western Cape,Referral,Local Radio,500/500 Mbps,89,0.1,8
2025-01-31,Western Cape,Referral,Local Radio,1000/1000 Mbps,100,0.11,11
2025-01-31,Western Cape,Outdoor,Facebook,10/10 Mbps,124,0.13,16
2025-01-31,Western Cape,Outdoor,Facebook,50/50 Mbps,180,0.2,36
2025-01-31,Western Cape,Outdoor,Facebook,100/100 Mbps,203,0.15,30
2025-01-31,Western Cape,Outdoor,Facebook,200/200 Mbps,290,0.17,49
2025-01-31,Western Cape,Outdoor,Facebook,500/500 Mbps,32,0.09,2
2025-01-31,Western Cape,Outdoor,Facebook,1000/1000 Mbps,297,0.19,56
2025-01-31,Western Cape,Outdoor,Google,10/10 Mbps,216,0.05,10
2025-01-31,Western Cape,Outdoor,Google,50/50 Mbps,292,0.15,43
2025-01-31,Western Cape,Outdoor,Google,100/100 Mbps,121,0.13,15
2025-01-31,Western Cape,Outdoor,Google,200/200 Mbps,265,0.17,45
2025-01-31,Western Cape,Outdoor,Google,500/500 Mbps,43,0.06,2
2025-01-31,Western Cape,Outdoor,Google,1000/1000 Mbps,264,0.11,29
2025-01-31,Western Cape,Outdoor,Word of Mouth,10/10 Mbps,190,0.08,15
2025-01-31,Western Cape,Outdoor,Word of Mouth,50/50 Mbps,299,0.15,44
2025-01-31,Western Cape,Outdoor,Word of Mouth,100/100 Mbps,80,0.09,7
2025-01-31,Western Cape,Outdoor,Word of Mouth,200/200 Mbps,85,0.16,13
2025-01-31,Western Cape,Outdoor,Word of Mouth,500/500 Mbps,173,0.05,8
